add_date,auction_sku,avg_rate,cms_source,rate_content,rate_date,reserve_rice,shop_list,shop_title,store_name,topic
2019-10-21,电压:48V;颜色分类:油光苍穹灰/油光黑,5,天猫,还可以，小小的轻便,2019-08-02 14:57:08,3999.00,"['证书编号：2018011119116220', '证书状态：有效', '产品名称：电动自行车', '3C规格型号：TDVZD-004', '品牌:SUNRA/新日', '电池类型:锂电池', '产地:中国大陆', '适用性别:通用', '颜色分类:油光苍穹灰【新国标锂电】牡丹红【新国标锂电】星雨亮白【新国标锂电】电镀银【新国标锂电】', '车架材质:铝合金', '轮圈尺寸:8英寸', '电压:48V', '上市时间:2018年秋季', '货号:qidi', '配置等级:标准型', '核载人数:2人', '款式:其他', '最高时速:20km/h以下（含）']",新日电动车锂电池电动自行车轻便男女电瓶车代步车48V 符合新国标,新日阳光新日专卖店,新日
2019-10-21,电压:48V;颜色分类:哑光微薰银粉/油光黑,5,天猫,车子很好，很结实，母亲很喜欢，电瓶车，我只选新日！,2019-05-02 19:33:02,3999.00,"['证书编号：2018011119116220', '证书状态：有效', '产品名称：电动自行车', '3C规格型号：TDVZD-004', '品牌:SUNRA/新日', '电池类型:锂电池', '产地:中国大陆', '适用性别:通用', '颜色分类:油光苍穹灰【新国标锂电】牡丹红【新国标锂电】星雨亮白【新国标锂电】电镀银【新国标锂电】', '车架材质:铝合金', '轮圈尺寸:8英寸', '电压:48V', '上市时间:2018年秋季', '货号:qidi', '配置等级:标准型', '核载人数:2人', '款式:其他', '最高时速:20km/h以下（含）']",新日电动车锂电池电动自行车轻便男女电瓶车代步车48V 符合新国标,新日阳光新日专卖店,新日
2019-10-21,电压:48V;颜色分类:油光黑/油光星空灰,5,天猫,发货很快，还是顺丰的。车子很漂亮，家里老人赞不绝口，推起来挺轻松，简单骑了一下很舒服，速度足够快了，加速爬坡动力也不错。客服小玲服务也很好，不错的购物体验。,2018-11-04 19:17:11,3999.00,"['证书编号：2018011119116220', '证书状态：有效', '产品名称：电动自行车', '3C规格型号：TDVZD-004', '品牌:SUNRA/新日', '电池类型:锂电池', '产地:中国大陆', '适用性别:通用', '颜色分类:油光苍穹灰【新国标锂电】牡丹红【新国标锂电】星雨亮白【新国标锂电】电镀银【新国标锂电】', '车架材质:铝合金', '轮圈尺寸:8英寸', '电压:48V', '上市时间:2018年秋季', '货号:qidi', '配置等级:标准型', '核载人数:2人', '款式:其他', '最高时速:20km/h以下（含）']",新日电动车锂电池电动自行车轻便男女电瓶车代步车48V 符合新国标,新日阳光新日专卖店,新日
2019-10-21,电压:48V;颜色分类:油光黑/油光星空灰,5,天猫,开始网购还有点犹犹豫，收货后的确太棒。质量、客服（慧慧）态度没话说，五星好评，。欲购者可以放心，推荐,2018-10-27 15:16:30,3999.00,"['证书编号：2018011119116220', '证书状态：有效', '产品名称：电动自行车', '3C规格型号：TDVZD-004', '品牌:SUNRA/新日', '电池类型:锂电池', '产地:中国大陆', '适用性别:通用', '颜色分类:油光苍穹灰【新国标锂电】牡丹红【新国标锂电】星雨亮白【新国标锂电】电镀银【新国标锂电】', '车架材质:铝合金', '轮圈尺寸:8英寸', '电压:48V', '上市时间:2018年秋季', '货号:qidi', '配置等级:标准型', '核载人数:2人', '款式:其他', '最高时速:20km/h以下（含）']",新日电动车锂电池电动自行车轻便男女电瓶车代步车48V 符合新国标,新日阳光新日专卖店,新日
2019-10-21,电压:48V;颜色分类:云母白/油光黑,5,天猫,"新日启迪电动车今天中午收到了,不愧是知名品牌,用料考察,工艺精巧,外形外观可人.初视是可信可推荐的.骑形性能要待使用一个时期后再加评 店家有问必答很耐心.微信安装指导周到热情.设计上能为用户考虑.发货的产品整车已装好了,方便",2018-11-12 18:16:41,3999.00,"['证书编号：2018011119116220', '证书状态：有效', '产品名称：电动自行车', '3C规格型号：TDVZD-004', '品牌:SUNRA/新日', '电池类型:锂电池', '产地:中国大陆', '适用性别:通用', '颜色分类:油光苍穹灰【新国标锂电】牡丹红【新国标锂电】星雨亮白【新国标锂电】电镀银【新国标锂电】', '车架材质:铝合金', '轮圈尺寸:8英寸', '电压:48V', '上市时间:2018年秋季', '货号:qidi', '配置等级:标准型', '核载人数:2人', '款式:其他', '最高时速:20km/h以下（含）']",新日电动车锂电池电动自行车轻便男女电瓶车代步车48V 符合新国标,新日阳光新日专卖店,新日
2019-10-21,电压:48V;颜色分类:云母白/油光黑,5,天猫,物流很快，安装好了试骑了，觉得龙头不像原来的车子，龙头和轮子的转幅不同,2019-04-09 09:42:32,3999.00,"['证书编号：2018011119116220', '证书状态：有效', '产品名称：电动自行车', '3C规格型号：TDVZD-004', '品牌:SUNRA/新日', '电池类型:锂电池', '产地:中国大陆', '适用性别:通用', '颜色分类:油光苍穹灰【新国标锂电】牡丹红【新国标锂电】星雨亮白【新国标锂电】电镀银【新国标锂电】', '车架材质:铝合金', '轮圈尺寸:8英寸', '电压:48V', '上市时间:2018年秋季', '货号:qidi', '配置等级:标准型', '核载人数:2人', '款式:其他', '最高时速:20km/h以下（含）']",新日电动车锂电池电动自行车轻便男女电瓶车代步车48V 符合新国标,新日阳光新日专卖店,新日
2019-10-21,电压:48V;颜色分类:云母白/油光黑,5,天猫,这是购物很满意，发的是日日顺，速度没得说，车很好，朋友都说物有所值，客服小丁人很热情，细心，多次帮忙解决问题，给个赞。,2018-12-08 14:31:37,3999.00,"['证书编号：2018011119116220', '证书状态：有效', '产品名称：电动自行车', '3C规格型号：TDVZD-004', '品牌:SUNRA/新日', '电池类型:锂电池', '产地:中国大陆', '适用性别:通用', '颜色分类:油光苍穹灰【新国标锂电】牡丹红【新国标锂电】星雨亮白【新国标锂电】电镀银【新国标锂电】', '车架材质:铝合金', '轮圈尺寸:8英寸', '电压:48V', '上市时间:2018年秋季', '货号:qidi', '配置等级:标准型', '核载人数:2人', '款式:其他', '最高时速:20km/h以下（含）']",新日电动车锂电池电动自行车轻便男女电瓶车代步车48V 符合新国标,新日阳光新日专卖店,新日
2019-10-21,电压:48V;颜色分类:油光黑/油光星空灰,5,天猫,今天货到了，打开看，刚开始没看到遥控器和钥匙，客服耐心解答，骑了溜了一圈挺好的，过段时间再看看,2018-11-15 15:15:08,3999.00,"['证书编号：2018011119116220', '证书状态：有效', '产品名称：电动自行车', '3C规格型号：TDVZD-004', '品牌:SUNRA/新日', '电池类型:锂电池', '产地:中国大陆', '适用性别:通用', '颜色分类:油光苍穹灰【新国标锂电】牡丹红【新国标锂电】星雨亮白【新国标锂电】电镀银【新国标锂电】', '车架材质:铝合金', '轮圈尺寸:8英寸', '电压:48V', '上市时间:2018年秋季', '货号:qidi', '配置等级:标准型', '核载人数:2人', '款式:其他', '最高时速:20km/h以下（含）']",新日电动车锂电池电动自行车轻便男女电瓶车代步车48V 符合新国标,新日阳光新日专卖店,新日
2019-10-21,电压:48V;颜色分类:油光黑/油光星空灰,5,天猫,有点重，小巧倒是很小巧，装车的盒子超大，建议物流到了直接拆了开走。想丢车子后备箱是不可能滴,2018-12-09 17:49:07,3999.00,"['证书编号：2018011119116220', '证书状态：有效', '产品名称：电动自行车', '3C规格型号：TDVZD-004', '品牌:SUNRA/新日', '电池类型:锂电池', '产地:中国大陆', '适用性别:通用', '颜色分类:油光苍穹灰【新国标锂电】牡丹红【新国标锂电】星雨亮白【新国标锂电】电镀银【新国标锂电】', '车架材质:铝合金', '轮圈尺寸:8英寸', '电压:48V', '上市时间:2018年秋季', '货号:qidi', '配置等级:标准型', '核载人数:2人', '款式:其他', '最高时速:20km/h以下（含）']",新日电动车锂电池电动自行车轻便男女电瓶车代步车48V 符合新国标,新日阳光新日专卖店,新日
2019-10-21,电压:48V;颜色分类:云母白/油光黑,5,天猫,车子挺轻，外观很漂亮，质量还不错，刚收货待骑行一段时间后再评价,2018-11-05 16:30:58,3999.00,"['证书编号：2018011119116220', '证书状态：有效', '产品名称：电动自行车', '3C规格型号：TDVZD-004', '品牌:SUNRA/新日', '电池类型:锂电池', '产地:中国大陆', '适用性别:通用', '颜色分类:油光苍穹灰【新国标锂电】牡丹红【新国标锂电】星雨亮白【新国标锂电】电镀银【新国标锂电】', '车架材质:铝合金', '轮圈尺寸:8英寸', '电压:48V', '上市时间:2018年秋季', '货号:qidi', '配置等级:标准型', '核载人数:2人', '款式:其他', '最高时速:20km/h以下（含）']",新日电动车锂电池电动自行车轻便男女电瓶车代步车48V 符合新国标,新日阳光新日专卖店,新日
