add_time,prod_color,prod_id,prod_name,prod_topic,prod_url,rate,rate_score,sale_num
2019-12-23,曜石黑,55608416694,绿源踏板电动车外卖电瓶车超长续航60V电动轻便摩托车    HKW6 曜石黑,绿源,https://item.jd.com/55608416694.html,上当了。车子很不理想。图片与实际的车子有很大的不同。上当上当！！！！,1,50
2019-12-23,金橙,55608416694,绿源踏板电动车外卖电瓶车超长续航60V电动轻便摩托车    HKW6 曜石黑,绿源,https://item.jd.com/55608416694.html,外形外观：家人说很不错,5,50
2019-12-23,曜石黑,55608416694,绿源踏板电动车外卖电瓶车超长续航60V电动轻便摩托车    HKW6 曜石黑,绿源,https://item.jd.com/55608416694.html,"外形外观：外观很漂亮。骑行体验：行驶很稳,最高时速达45Km。其他特色：车子小巧玲珑。车子质量：相信绿源大品牌。电池续航：希望续航有较好的表现。",5,50
2019-12-23,曜石黑,55608416694,绿源踏板电动车外卖电瓶车超长续航60V电动轻便摩托车    HKW6 曜石黑,绿源,https://item.jd.com/55608416694.html,车子质量：绿源大品牌质量没的说骑行体验：车子真空胎骑着很舒服，外形外观：车子很时尚,5,50
2019-12-23,郎窑红,55608416694,绿源踏板电动车外卖电瓶车超长续航60V电动轻便摩托车    HKW6 曜石黑,绿源,https://item.jd.com/55608416694.html,车子质量：牌子货，质量没的说，配置看着很不错电池续航：刚提车，续航不知道外形外观：外观跟图片差不多骑行体验：座垫很软，坐着很舒服，车子防震功能好适用场景：城市道路完全没问题其他特色：仪表盘很新颖,5,50
2019-12-23,曜石黑,55608416694,绿源踏板电动车外卖电瓶车超长续航60V电动轻便摩托车    HKW6 曜石黑,绿源,https://item.jd.com/55608416694.html,外形外观：全黑外观炫酷，但是有些小巧玲珑骑行体验：骑起来很轻松，操控性不错，刹车灵敏有力，但不会太过于凸凹。减震过滤性能挺好，过减速带不会把你的屁股颠到离开坐垫。电池续航：暂时没有进行验证，过段时间再来追评。,5,50
2019-12-23,乳胶蓝,55608416694,绿源踏板电动车外卖电瓶车超长续航60V电动轻便摩托车    HKW6 曜石黑,绿源,https://item.jd.com/55608416694.html,电瓶车质量很好，就是比预想的要小一点！,5,50
2019-12-23,曜石黑,55608416694,绿源踏板电动车外卖电瓶车超长续航60V电动轻便摩托车    HKW6 曜石黑,绿源,https://item.jd.com/55608416694.html,车子挺轻快的，骑起来很方便，很快速度。就是稍微感觉有一点小，要是再大点就好了。,5,50
2019-12-23,雪山白,55608416694,绿源踏板电动车外卖电瓶车超长续航60V电动轻便摩托车    HKW6 曜石黑,绿源,https://item.jd.com/55608416694.html,挺好～门店自~场安装～服务很给力车子外观也很秀气。,5,50
2019-12-23,雪山白,55608416694,绿源踏板电动车外卖电瓶车超长续航60V电动轻便摩托车    HKW6 曜石黑,绿源,https://item.jd.com/55608416694.html,其他的都还不错，车身可以进电梯刹车不太灵，现在急刹都是两个一起捏,5,50
2019-12-23,雪山白,55608416694,绿源踏板电动车外卖电瓶车超长续航60V电动轻便摩托车    HKW6 曜石黑,绿源,https://item.jd.com/55608416694.html,非常好，特别特别好，价格亲民，物有所值,5,50
2019-12-23,金橙,55608416694,绿源踏板电动车外卖电瓶车超长续航60V电动轻便摩托车    HKW6 曜石黑,绿源,https://item.jd.com/55608416694.html,车子非常好骑，很稳，上坡也很给力，电池也耐用，试骑了35公理，才用了20%的电，超级喜欢,5,50
