add_time,availableStockNum,costPrice,defaultImageUrl,frozenStockNum,merchantStockNum,outerStockNum,productAttribute,productClassifyTitle,realStockNum,singleProductCode,singleProductId,storeStockNum,title,unit
2020-04-28,1000,None,https://image-c.weimobwmc.com/saas-wxbiz/260f92236f264c75af865f53d90fd934.jpg,0,1000,0,宇宙蓝,两轮车,1000,30035000001,1283632940189,0,R-小金鼠轻摩版A-T—宇宙蓝/新塔夫绸白(一),辆
2020-04-28,1000,None,https://image-c.weimobwmc.com/saas-wxbiz/709780eb00cb419290e2b679e44825b0.jpg,0,1000,0,新塔夫绸白,两轮车,1000,30035000011,1283632930189,0,R-小金鼠轻摩版A-T—新塔夫绸白/新油光黑(一),辆
2020-04-28,1000,None,https://image-c.weimobwmc.com/saas-wxbiz/67f1bae05175489eaf8d89a933fc054c.jpg,0,1000,0,新亮黑,两轮车,1000,30035000010,1283632920189,0,R-小金鼠轻摩版A-T—新亮黑/新塔夫绸白(一),辆
2020-04-28,1000,None,https://image-c.weimobwmc.com/saas-wxbiz/8e34fe78f0be4d3b91e3b6a54e15b583.jpg,0,1000,0,新薄荷绿,两轮车,1000,30035000007,1283632910189,0,R-小金鼠轻摩版A-T—新薄荷绿/新塔夫绸白(卡通版),辆
2020-04-28,1000,None,https://image-c.weimobwmc.com/saas-wxbiz/0c7d57570b2b40feb40a43f7620288c0.jpg,0,1000,0,气泡蓝,两轮车,1000,30035000009,1283632900189,0,R-小金鼠轻摩版A-T—气泡蓝/新塔夫绸白(卡通版),辆
2020-04-28,1000,None,https://image-c.weimobwmc.com/saas-wxbiz/2ef7e1d1a48044afbea0ede8ac2fc2fb.jpg,0,1000,0,苹果黄,两轮车,1000,30035000008,1283632890189,0,R-小金鼠轻摩版A-T—苹果黄/新塔夫绸白(卡通版),辆
2020-04-28,1000,None,https://image-c.weimobwmc.com/saas-wxbiz/30cc09fd580d480ea6d7ba2bfbc93b48.jpg,0,1000,0,蜜茶粉,两轮车,1000,30035000006,1283632880189,0,R-小金鼠轻摩版A-T—蜜茶粉/新塔夫绸白(卡通版),辆
2020-04-28,1000,None,https://image-c.weimobwmc.com/saas-wxbiz/1a28ebacb25946cc90ee37aba6bedc2c.jpg,0,1000,0,环保灰,两轮车,1000,30035000004,1283632870189,0,R-小金鼠轻摩版A-T—环保灰/新塔夫绸白(一),辆
2020-04-28,1000,None,https://image-c.weimobwmc.com/saas-wxbiz/ed9929fde14643a08f0aa7355c7006a1.jpg,0,1000,0,大地棕,两轮车,1000,30035000002,1283632860189,0,R-小金鼠轻摩版A-T—大地棕/新塔夫绸白(一),辆
2020-04-28,0,None,https://image-c.weimobwmc.com/saas-wxbiz/a5022b75eed8411dabc78143b52f70d0.png,0,0,0,None,None,0,P000000126961455,1284450900189,0,雅迪原装电池以旧换新半价 60V20AH,件
